cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
SAM,model,few-shot segmentation,outcome,enables,4,4,high,SAM exhibits remarkable versatility and zero-shot learning abilities
synthetic data,data,scenarios,adaptation,transfers_to,4,4,high,continuous learning via the engagement of robots in both simulated and real-world scenarios
adapter,model,SAM,model,integrates_with,4,4,high,trainable adapters are inserted into the frozen image encoder of SAM.
sim-to-real,model,generalization,outcome,improves,4,4,high,promising generalization performance in real environments without being trained on the real-world data
SAM,model,generalization ability,outcome,improves,4,4,high,demonstrating superior generalization ability
sam 2,model,image segmentation,outcome,evaluates,4,4,high,SAM 2 demonstrates a strong capability for segmenting various surgical videos
synthetic data,data,foundation model,model,enables,4,4,high,enabling foundation models to adapt without real medical data
sam,model,medical image segmentation,adaptation,transfers_to,4,4,medium,it remains unclear whether it can be applicable to medical image segmentation
synthetic data,data,real world,adaptation,transfers_to,4,4,high,promising results in both simulation and the real world
SAM,model,performance improvement,outcome,improves,4,4,high,ELE-SAM outperforms the baseline model with the average 16.8% mIoU.
SAM,model,generalization,outcome,improves,4,4,high,extensive comparison experiments demonstrate the superiority of SAMUS
SAM,model,Dice Similarity Coefficient,outcome,improves,3,3,high,SAT-Pro consistently outperforms across all 7 human body regions with +7.1% average Dice Similarity Coefficient (DSC) im
SAM,model,state-of-the-art methods,model,improves,3,3,high,comparative results of SAM-based and current state-of-the-art methods on representative benchmarks...
generative model,data,synthetic data,data,generates,3,3,high,perform shading of synthetic geometry conditioned on a 'g-buffer' representation
SAM,model,robustness,outcome,improves,3,3,high,these results highlight SAM's robust generalization capabilities with consistent accuracy in automatic segmentation
sam,model,ultrasound segmentation,outcome,improves,3,3,high,ClickSAM exhibits superior performance compared to other existing models for ultrasound image segmentation.
SAM,model,tumor segmentation,outcome,enables,3,3,high,pretrained SAM architecture exhibits limitations in accurately identifying tumor areas
data augmentation,model,superior performance,outcome,improves,3,3,high,demonstrate the superiority of our framework over other traditional models
SAM,model,early detection,outcome,enables,3,3,high,Polyp segmentation plays a crucial role in the early detection and diagnosis of colorectal cancer.
synthetic data,data,medical images,data,transfers_to,3,3,high,validated with real endoscopy images from a porcine colon
synthetic data generation,data,synthetic data generation,data,improves,3,3,high,smart data generation... would greatly benefit from smart data generation.
SAM,model,detection accuracy,outcome,requires,3,3,high,"SAM requires accurate prompts of target objects, which are unavailable in SOD."
synthetic data,data,zero-shot sim-to-real transfer,adaptation,enables,3,3,high,to demonstrate zero-shot sim-to-real policy transfer on several physically-interactive tasks requiring a sense of touch.
SAM,model,instance segmentation,outcome,integrates_with,3,3,high,ISM takes SAM as an advanced starting point to generate all possible object proposals.
sim-to-real transfer,adaptation,reality gap,problem,solves,3,3,high,Policies trained in simulation often fail when transferred to the real world due to the `reality gap'
SAM,model,high accuracy,outcome,improves,3,3,high,demonstrates out-of-the-box SAM's high accuracy in identifying individual berries.
depth estimation,model,3D reconstruction,data,enables,3,3,high,"depth estimation, and 3D reconstruction components"
SAM,model,high-quality masks,outcome,improves,3,3,high,"the model has demonstrated that, with prompts, it can create high-quality masks"
SAM,model,medical images,data,requires,3,3,high,the performance of the model on medical images requires further validation
bounding boxes,data,SAM,model,adapts,3,3,high,"By using YOLO-generated bounding boxes to guide SAM, we trained the hybrid model to accurately segment orthopaedic pelvi"
SAM,model,polyp segmentation,outcome,evaluates,3,3,high,we evaluate the performance of SAM in segmenting polyps
SAM,model,significant improvements,outcome,improves,3,3,high,SFR framework improves the Dice score of Mean Teacher from 29.68% to 74.40%
synthetic data,data,generalization,outcome,improves,3,3,high,can generalize to a variety of real-world insertion tasks
SAM,model,real-time segmentation,outcome,enables,3,3,high,SAGA achieves real-time multi-granularity segmentation with quality comparable to state-of-the-art methods
SAM,model,feature extraction,model,enables,3,3,high,SAM has emerged as a versatile tool for image segmentation without specific domain training
SAM,model,Med-SA,model,adapts,3,3,high,enhance SAM's segmentation capability for medical images
synthetic data generation,data,synthetic data,data,generates,3,3,high,data generation is fast as well as inexpensive
virtual environment,data,synthetic data,data,generates,3,3,high,a simulated environment in which continuous or discrete control policies can be trained
transfer learning,adaptation,SAM,model,adapts,3,3,high,enhanced SAM's mask decoder using transfer learning with the Decathlon brain tumor dataset.
SAM,model,methodological adaptations,adaptation,enables,3,3,high,we summarize recent efforts to extend the success of SAM to medical image segmentation tasks
hyperspectral imaging,data,classification task,outcome,enables,3,3,high,hyperspectral imaging of optical scattering is a viable technology for beef tenderness classification
style transfer,adaptation,domain gap,adaptation,solves,3,3,high,Style transfer methods can reduce this difference by applying a realistic style to synthetic images.
MIPS,interface,real-time navigation,outcome,improves,3,3,high,The MIPS holds promise as a novel real-time navigation system for liver resection.
generative model,model,synthetic data generation,data,enables,3,3,high,use generative models to synthesize diverse and physically accurate image sequences
hyperspectral imaging,data,quantitative analysis,outcome,enables,3,3,high,effectively quantifying and characterizing quality attributes of some important visual features of meat.
SAM,model,sim-to-real,outcome,enables,3,3,high,SPI-Active enables precise sim-to-real transfer of learned policies to the real world.
SAM,model,segmentation quality,outcome,improves,3,3,high,our SAM-REF model outperforms the current state-of-the-art method in most metrics on segmentation quality
SAM,model,better accuracy,outcome,improves,3,3,high,demonstrating better accuracy and robustness than modality-wise specialist models.
SAM,model,segmentation mask,outcome,generates,3,3,high,harnesses the exceptional generalizability of MedSAM to infer the segmentation mask.
projection mapping,interface,human-robot collaboration,interface,enables,3,3,high,novel projection mapping device that can cast the real-time fluorescent image onto the surface
SAM,model,segmentation model,model,integrates_with,3,3,high,we propose to train a single segmentation model so that the model can adapt to each sub-group
SAM,model,semantic similarity,model,integrates_with,3,3,medium,explicitly refined by the prototype-based semantic similarity.
SAM,model,state-of-the-art accuracy,outcome,improves,3,3,high,"SAMRI achieves a mean Dice of 0.87, delivering state-of-the-art accuracy"
SAM,model,nuclei segmentation,outcome,improves,3,3,high,SAC integrates a Low-Rank Adaptation (LoRA) within the attention layer of the Transformer to improve the fine-tuning pro
image segmentation,model,costly labeling,outcome,reduces,3,3,high,PSS has great potential to alleviate costly expert delineation labeling.
SAM,model,superior segmentation,outcome,demonstrates,3,3,high,Our extensive experiments demonstrate the superiority of SAC in nuclei segmentation tasks
sim-to-real transfer,adaptation,real-world application,outcome,enables,3,3,high,adversarial transfer approach reduced the labelled real data requirement by 50%.
synthetic data,data,domain adaptation,adaptation,requires,3,3,high,we employ an unsupervised feature space domain adaptation method
SAM,model,efficient,outcome,enables,3,3,high,"allow efficient use of SAM in even noisy, low-contrast medical images"
public dataset,data,public dataset,data,requires,3,3,medium,we find subsets Ac and Bc of similar content.
SAM,model,error propagation,problem,reduces,3,3,high,the fixed-window memory approach...leading to error propagation in videos
SAM,model,competitive performance,outcome,improves,3,3,high,utilization of weak and few annotations for SAM finetuning achieves competitive performance
image segmentation,model,segmentation performance,outcome,improves,3,3,high,attaining good segmentation performance.
SAM,model,average dice performance,outcome,improves,2,2,high,Finetuning the SAM on specific medical tasks could improve its average DICE performance.
SAM,model,task-specific adaptation,adaptation,improves,2,2,high,task-specific adaptation for out-of-distribution objects not typically present in the training data
SAM,model,in-context segmentation,problem,adapts,2,2,high,propose the Dual Consistency SAM (DC-SAM) method based on prompt-tuning to adapt SAM and SAM2 for in-context segmentatio
manual hints,interface,SAM performance,model,improves,2,2,high,"SAM performed better with manual hints, especially box, than the Everything mode."
boundary complexity,problem,SAM performance,model,correlates,2,2,medium,"SAM's performance correlated to different factors, including boundary complexity, intensity differences, etc."
LoRA,model,fine-tuning process,model,enhances,2,2,high,SAC integrates a Low-Rank Adaptation (LoRA) within the attention layer of the Transformer to improve the fine-tuning pro
user study,data,design recommendations,outcome,generates,2,2,medium,we further provide design recommendations and in-depth discussions
hyperspectral imaging,data,quality attributes,outcome,enables,2,2,high,"HSI for the non-destructive, non-invasive, and rapid determination of important quality attributes"
synthetic data,data,depth estimation network,model,adapts,2,2,medium,"input into the depth estimation network, wherein framewise depth can be obtained in real time"
public dataset,problem,clinical diagnosis,outcome,solves,2,2,high,address the challenges associated with accessing large and diverse medical datasets
synthetic data,data,classification performance,outcome,improves,2,2,high,augment the underrepresented classes with synthetic samples
SAM,model,accuracy in protein degradation prediction,outcome,improves,2,1,high,d 3 and d 10 STEPWISE models were 94% and 86% accurate
sim-to-real reinforcement learning,problem,sim-to-real,outcome,enables,2,2,high,successful sim-to-real transfer of the learned gaits to the bipedal robot Cassie
synthetic data,data,abundant data source,data,enables,2,2,high,Simulations are attractive environments for training agents as they provide an abundant source of data
saliency map,model,predictions of semi-supervised segmentation branch,model,enables,2,2,high,uses class activation maps produced by an auxiliary classifier to guide the predictions.
sam,model,interactive segmentation,interface,enables,2,2,high,"its application has been extensively studied across various domains, including the medical field."
SAM,model,generalization capability,adaptation,evaluates,2,2,high,evaluate its generalization capability with domain adaptability.
sam,model,open-world object segmentation,adaptation,enables,2,2,high,SAM has showcased remarkable capabilities of zero-shot segmentation
SAM,model,semantic segmentation,outcome,enables,2,2,high,could perform semantic segmentation on medical images
sim-to-real transfer,adaptation,real robot,outcome,transfers_to,2,2,high,Results are shown both in simulation and on a real robot via sim-to-real transfer of the learned policy.
SAM,model,deployment cost,outcome,reduces,2,2,high,its deployment cost and storage cost are quite marginal in practical usage
transfer learning,adaptation,segmentation results,outcome,enables,2,2,high,transfer learning from natural to medical image domains serves as a viable strategy to produce reliable segmentation res
foundation segmenters,model,reliable measurements,outcome,improves,2,2,high,Fine-tuned segmentations yielded clinically reliable measurements with high concordance to expert annotations
fine-tuned segmentations,model,workload optimization,outcome,enables,2,2,high,reliable biomarkers drive both workload optimization today
differentiable simulators,model,domain gap,problem,solves,2,2,high,"closing the sim-to-real gap by enabling the use of efficient, gradient-based optimization algorithms"
fine-tuned segmentations,model,patient risk stratification,outcome,enables,2,2,high,reliable biomarkers drive... patient risk stratification tomorrow
iterations,data,performance,outcome,improves,2,2,high,Performance can be progressively improved with adequate iterations.
modular system,data,standardized techniques,outcome,enables,2,2,high,modular system that converts routine MRI into standardized quantitative biomarkers
synthetic data,data,real-world applications,outcome,transfers_to,2,2,high,potential for significant gains in the real-world applications
SAM,model,cineCMR-SAM,model,adapts,2,1,high,Our approach achieved superior generalization in both the public testing dataset...
SAM,model,strong generalization,outcome,improves,2,2,high,MCICSAM demonstrates strong generalizability
sim-to-real transfer,adaptation,visuomotor policies,model,enables,2,2,high,sim-to-real transfer of visuomotor policies to ex vivo surgical scenes
three-stage triage cascade,outcome,reduces verification workload,outcome,improves,2,2,high,three-stage knee triage cascade that reduces verification workload while maintaining sensitivity
boundary-aware loss,model,boundaries,outcome,improves,2,2,high,a boundary-aware loss is proposed to achieve precise boundaries.
image segmentation,data,classification performance,outcome,improves,2,2,high,"enhance their focus on spatially relevant or meaningful regions of the image, thus improving classification performance"
foundation model,model,robust performance,outcome,improves,2,2,high,a hybrid network with complementary encoders is designed for robust results.
automated measurement,model,clinical decision-making,outcome,enables,2,2,high,pathway from automated measurement to clinical decision
fine-tuning SAM,model,accuracy,outcome,improves,2,2,high,assess its profound impact on the accuracy and reliability of segmentation results
learned representation,model,generalization,adaptation,enables,2,2,high,demonstrating that the learned representation can generalize across domains
public dataset,data,training,outcome,improves,2,2,medium,optimizing the use of synthetic data in the training process of any ANN.
attention mechanism,adaptation,local features,model,improves,2,2,high,to improve local feature description using semantic discrimination
boundary shape loss,model,anatomical priors,data,generates,2,2,medium,incorporating a boundary shape supervision loss function based on level set functions and curvature calculations
neural network,model,segmentation performance,outcome,improves,2,2,high,"Our method outperformed others, achieving the highest DICE score of 82.77%"
synthetic data,data,public dataset,data,generates,2,2,high,effective domain transfer by composing real background images with simulated images
sim-to-real transfer,adaptation,tactile robotics policies,model,transfers_to,2,2,high,train a tactile-based manipulation policy with sim-to-real transfer in mind.
SAM,model,real-time tracking,outcome,enables,2,2,high,endowing SAM-based downstream applications with tracking capabilities.
synthetic data,data,imitation learning,model,generates,2,2,high,we customize an action primitive sequence for imitation learning to constrain its action space
sam,model,zero-shot generalization,outcome,enables,2,2,high,SAM have demonstrated robust zero-shot generalization capabilities on static images.
High-Resolution Decoder (HR-Decoder),model,segmentation maps,outcome,enables,2,2,high,"designed a High-Resolution Decoder (HR-Decoder), which directly produces fine-grained segmentation maps"
concise,adaptation,domain-invariant representation learning,outcome,improves,2,2,high,promote domain-invariant representation learning while preserving crucial discriminative features
optimization method,model,model performance,outcome,improves,2,2,high,considerable improvement in model performance
concise,model,improvement in SAM performance,outcome,improves,2,2,high,show improvement in SAM's performance and robustness to inaccurate prompts
labeled data,data,online learning,model,generates,2,2,high,employ rectified annotations to perform online learning.
medivista,model,improved accuracy,outcome,improves,2,2,high,"The results demonstrate the potential of MediViSTA to significantly advance echocardiographical video segmentation, offe"
SAM,model,3D medical images,problem,adapts,2,2,high,we adapt this model to the annotation of 3D medical images.
fine-tuning,model,efficient adaptation,adaptation,enables,2,2,high,"Using a fine-tuning strategy, only a small subset of pre-trained parameters is updated."
few-shot learning,adaptation,CellSAM,model,improves,2,2,medium,can be improved with a few examples via few-shot learning
adapter,model,local features,adaptation,adapts,2,2,high,MPAdapter to adapt the SAM2 encoder for enhanced extraction of local details and global semantics.
synthetic data,data,real-world dynamics,adaptation,transfers_to,2,2,high,dynamically adjusts simulation environment parameters online using in-context learning
zero-shot generalization,adaptation,public dataset,data,transfers_to,2,2,high,shows promising zero-shot generalization ability on the label-free STIR dataset
quantitative evaluation,outcome,surpassing state-of-the-arts,outcome,improves,2,2,high,quantitative results surpass the state-of-the-art semi-supervised video object segmentation method XMem
sparse points within the region of interest,data,prompt SAM,model,generates,2,2,high,Sparse points within the region of interest are tracked and used to prompt SAM
online point tracker,model,task-related indicators,interface,enables,2,2,high,combines an online point tracker with a lightweight SAM model
fine-tuning,model,generalization in surgical scenes,adaptation,improves,2,2,high,employing fine-tuning techniques to enhance their generalization in surgical scenes
SAM,model,efficiency requirement,outcome,improves,2,2,high,adopting lightweight SAM variants to meet the efficiency requirement
sim-to-real transfer,adaptation,generalization,outcome,improves,2,2,high,demonstrate robustness to sim-to-real transfer and generalization to multiple objects
auto-prompt generator,interface,effective prompts,data,generates,2,2,high,introduces an innovative auto-prompt generator that produces effective prompts to guide segmentation
diverse dataset,data,SAM,model,fine-tunes,2,2,high,fine-tuned on a diverse HSV dataset for phase detection
foundation models,model,image segmentation,data,enables,2,2,high,foundation models have become the dominant force in the domains of natural language processing and image generation
amount of prompts,data,efficiency of human-in-the-loop model,outcome,evaluates,2,2,medium,we assess the efficiency of the human-in-the-loop model as a function of the amount of prompts
SAM variants,model,high-quality manual prompts,data,requires,2,2,high,"require high-quality manual prompts for medical image segmentation, which is time-consuming and requires expertise."
domain randomization,data,synthetic data,data,enables,2,2,high,"effectiveness of the proposed domain randomization, potentially covering the distribution close to real data"
public dataset,data,SAM,model,requires,2,2,high,curated a medical image dataset that consists of CT scans of lesions in various organs
public dataset,data,sim-to-real,adaptation,enables,2,2,high,our model is trained on a simulated dataset and exhibits strong sim-to-real transfer capabilities.
sam,model,source-free domain adaptation,adaptation,enables,2,2,high,explore the potentials of Segment Anything Model for SFDA via automatedly finding an accurate bounding box prompt
synthetic data generation,data,training,model,improves,2,2,high,training robust state estimators
feature aggregation,model,bounding box prompt,adaptation,enables,2,2,high,builds a feature distribution well-prepared for box prompt search
sam,model,high-quality pseudo-labels,data,enables,2,2,high,"SAM, a class-agnostic foundation model capable of producing fine-grained instance masks"
effective prompts,data,nuclei segmentation,outcome,improves,2,2,high,"the generation of high-quality, informative prompts is as crucial as applying state-of-the-art (SOTA) fine-tuning techni"
SAM,model,generalization across tumor types,outcome,improves,2,2,high,demonstrated strong generalization across tumor types and imaging sequences
sam,model,tumor segmentation,outcome,adapts,2,2,high,we adapt the Segment Anything Model (SAM) on the CRC histopathology images to segment TBs
sam,model,automated segmentation,outcome,enables,2,2,high,SAM's high accuracy in identifying individual berries in 2D cluster images.
sam2,model,RGB-T,adaptation,enables,2,2,high,unlock the potential of SAM2 with linguistic guidance for efficient RGB-Thermal perception
real-to-synthetic domain gap,adaptation,poor generalization to new data,outcome,correlates,2,2,high,this real-to-synthetic domain gap caused poor generalization to new real data
VNS-SAM,model,real-world applications,outcome,enables,2,2,high,highlighting its potential for broad real-world applications
synthetic data,data,model,model,transfers_to,2,2,high,The model trained on simulated data was evaluated with real internal camera images
SAM,model,enhance performance,outcome,integrates_with,2,2,high,can be seamlessly integrated into other semi-supervised segmentation methods to enhance performance.
SAM,model,missed area,problem,improves,2,2,high,enhance SAM's perception of visually non-salient scenarios
predictions,data,produce mask prompts,interface,enables,2,2,high,used to produce mask prompts for SAM.
temporal adapters,model,task-specific adaptation,adaptation,enables,2,2,high,we integrate temporal adapters within the transformer blocks of the image encoder.
SAM,model,future research,outcome,improves,2,2,medium,provide insights that facilitate future research activities toward generic segmentation
reinforcement learning,data,performance,outcome,improves,2,2,high,RT-IS-powered RL agent outperforms conventional agents on robots with modeling uncertainties.
SAM,model,learn from SAM predictions,adaptation,transfers_to,2,2,high,transfer useful knowledge from SAM to two sub-networks.
SAM,model,automatic segmentation,data,enables,2,2,high,"SAM-assisted segmentation had a Dice coefficient of 0.86-0.88, reducing the processing time per lesion."
synthetic data,model,detection accuracy,outcome,improves,2,2,high,enhance the efficiency and accuracy of action parameter optimization
robot arm,interface,meat processing tasks,outcome,enables,2,2,high,demonstrated proof-of-concept approaches to ensure human safety while exploring the capacity of the robot arm
learnable prompt strategy,model,fine-tune SAM,adaptation,adapts,2,2,high,integrate an adapter to fine-tune SAM specifically for medical image segmentation tasks.
stitched image,data,fine-tuning SAM,model,enables,2,2,high,The stitched images are then used for fine-tuning SAM
stitching strategy,adaptation,image mismatch,problem,solves,2,2,high,Our stitching strategy mitigates the mismatch between natural and 3D medical images
SAM,model,semi-supervised segmentation models,model,enables,2,2,high,leverage the capabilities of SAM for establishing semi-supervised medical image segmentation models
fastsam-3d,model,real-time segmentation,outcome,enables,2,2,high,FastSAM-3D achieves low inference times of only 1.09 seconds per volume on CPU and 0.73 seconds per volume on GPU
SAM,model,strong zero-shot performance,outcome,generates,2,2,high,showcasing its ability to generalize without fine-tuning
SAM,data,U-Net,model,evaluates,2,2,high,nnU-Net models trained on SAM-generated annotations perform significantly worse
synthetic data,model,control policy,outcome,improves,2,2,high,demonstrate robust sim-to-real transfer of control policies
waterjet technology,problem,depth of cut,outcome,improves,2,1,high,The depth of the cut (DOC) of a waterjet in soft tissue is an important parameter that should be predicted in these appl
SAM,model,efficiency and accuracy,outcome,evaluates,2,2,medium,a unified and extensive evaluation of these methods across various hardware.
extensive experiments,data,demonstrate method effectiveness,outcome,evaluates,2,2,medium,extensive experiments with real and synthetic datasets in three different domains
teacher assistant (TA),model,semantic information,data,integrates_with,2,2,high,introduces a teacher assistant (TA) to provide semantic information
concise term,data,SAM,model,adapts,2,2,medium,tested the Segment Anything Model (SAM) using reflectivity as input
sam,model,high accuracy,outcome,improves,2,2,high,integration of SAM and Transfer Learning significantly improves Computer-Aided Detection (CAD) systems
sim-to-real transfer,adaptation,domain gap,problem,solves,2,2,high,"sim-to-real transfer has emerged as a key approach, yet the sim-to-real gap persists."
knowledge-based augmentation,model,SAM,model,integrates_with,2,2,high,propose prior knowledge-based augmentation strategies to enhance SAM2
sam,model,zero-shot segmentation,model,enables,2,2,high,the SAM model supports zero-shot image segmentation with various segmentation prompts
tactile simulation,data,sim-to-real,adaptation,enables,2,2,high,"effective sim-to-real transfer, we introduce a computationally fast tactile simulation"
CT,data,fat boundary,outcome,enables,2,2,high,CT systematically underestimated total and visceral fat contents by more than 10% of the mean fat weight
training data,problem,zero-shot segmentation,model,solves,2,2,high,"the SAM model is attractive for medical image analysis, especially for digital pathology where the training data are rar"
SAM,model,domain gap,problem,correlates,2,2,high,notable performance discrepancy when directly applying SAM due to the domain gap
sam,model,mask prediction,model,generates,2,2,high,SAM is trained to predict a mask for covering the object shape based on a prompt.
sim-to-real transfer,adaptation,real-world experiments,outcome,transfers_to,2,2,high,successfully transferred to real-world experiments
synthetic data,data,cost-effective solution,outcome,provides,2,2,high,"provides a cost-effective solution for generating high-quality, diverse data"
SAM,model,time reduction,outcome,reduces,2,2,high,reducing the time required to correct propagated masks by 60.575%
data augmentation,model,prompt robustness,model,improves,2,2,high,improving prompt robustness via random bounding box expansion
YOLOv10,model,bounding box prompts,data,generates,2,2,high,"YOLOv10 generates bounding box prompts to guide SAM2, enhancing segmentation accuracy."
data augmentation,model,knowledge transfer,adaptation,enables,2,2,high,a novel layer-wise progressive distillation scheme that enables knowledge transfer from a complex 12-layer ViT-B.
SAM,model,interactive use,interface,enables,2,2,high,"Interactivity is a key strength of SAMs, allowing users to iteratively provide prompts."
sam,model,instance segmentation,outcome,enables,2,2,high,SAM is a deep neural network foundational model designed to perform instance segmentation
instance segmentation,outcome,human labor,outcome,reduces,2,2,high,thus decreasing the human labor required in cell culturing.
user-friendly interface,interface,task-related indicators,problem,reduces,2,2,high,a user-friendly UI that reduces the technical expertise needed to use this automated microscopy technique.
synthetic data,data,robust policy,model,enables,2,2,high,critical to training robust robotic policies capable of transferring from simulation to real-world deployment
sim-to-real transfer,adaptation,cobot,interface,transfers_to,2,2,high,successfully deploying the learned policy on a real UR10 robot
synthetic data,data,reinforcement learning,model,enables,2,2,high,trained by reinforcement learning purely in simulation
large-scale dataset,data,SAM,model,requires,2,2,high,trained on an existing large-scale dataset of microscopy images containing varying cell types and confluency.
SAM,model,cell segmentation,outcome,improves,2,2,high,"Using SAMCell, biologists can quickly and automatically obtain cell segmentation results of higher quality than previous"
CLIP and SAM,model,interactive universal image segmentation,outcome,enables,2,2,high,"the introduction of foundation models like CLIP and Segment-Anything-Model (SAM), with robust cross-domain representatio"
large-scale medical dataset,data,MedSAM,model,requires,2,2,high,"developed on a large-scale medical image dataset with 1,570,263 image-mask pairs."
medical image segmentation,outcome,expedite evolution of diagnostic tools,outcome,enables,2,2,high,holds significant potential to expedite the evolution of diagnostic tools.
in vivo ultrasound,data,fat boundary,outcome,evaluates,2,1,high,relationship between ham composition measured with computed tomography (CT) and in vivo ultrasound (US)
2d models,model,3D anatomical model,adaptation,adapts,2,2,high,Adapting 2D models to 3D typically involves autoregressive strategies
fine-tuning,model,performance improvement,outcome,improves,2,2,high,performance can be clearly improved for interactive segmentation
SAM,model,improved performance,outcome,improves,2,2,high,illustrate the improved performance obtained when our method has been used for segmentation of the CT scans
MedSAM,model,medical image segmentation,outcome,improves,2,2,high,Med-SA outperforms several state-of-the-art (SOTA) medical image segmentation methods
sam,model,zero-shot segmentation performance,outcome,evaluates,2,2,high,SAM presents remarkable segmentation performance on images from the general domain
fine-tuned SAM,model,image segmentation,outcome,enables,2,2,high,using fine-tuned SAM to achieve accurate medical image segmentation
generalist vision model,model,desired performance,outcome,enables,2,2,high,great potential to achieve desired performance through fine-tuning
SAM,model,universal medical segmentation,outcome,enables,2,2,high,MedSAM... enabling universal medical image segmentation.
